iter	Passed	Remaining
783	1159	319
784	1161	318
785	1162	316
786	1163	315
787	1165	313
788	1166	312
789	1168	310
790	1169	308
791	1170	307
792	1172	306
793	1173	304
794	1175	303
795	1176	301
796	1177	300
797	1179	298
798	1180	296
799	1181	295
800	1182	293
801	1184	292
802	1185	290
803	1186	289
804	1188	287
805	1189	286
806	1190	284
807	1191	283
808	1193	281
809	1194	280
810	1195	278
811	1196	277
812	1198	275
813	1199	274
814	1200	272
815	1201	271
816	1203	269
817	1204	267
818	1205	266
819	1207	264
820	1208	263
821	1209	261
822	1210	260
823	1211	258
824	1213	257
825	1214	255
826	1215	254
827	1217	252
828	1218	251
829	1219	249
830	1221	248
831	1222	246
832	1223	245
833	1224	243
834	1225	242
835	1226	240
836	1228	239
837	1229	237
838	1230	236
839	1231	234
840	1233	233
841	1234	231
842	1235	230
843	1236	228
844	1237	227
845	1239	225
846	1240	224
847	1241	222
848	1242	221
849	1244	219
850	1245	218
851	1247	216
852	1248	215
853	1250	213
854	1251	212
855	1252	210
856	1253	209
857	1254	207
858	1255	206
859	1256	204
860	1258	203
861	1259	201
862	1260	200
863	1262	198
864	1263	197
865	1264	195
866	1266	194
867	1267	192
868	1268	191
869	1269	189
870	1270	188
871	1271	186
872	1272	185
873	1274	183
874	1275	182
875	1276	180
876	1278	179
877	1279	177
878	1281	176
879	1282	174
880	1283	173
881	1284	171
882	1285	170
883	1287	168
884	1288	167
885	1289	165
886	1290	164
887	1292	162
888	1293	161
889	1295	160
890	1296	158
891	1297	157
892	1299	155
893	1300	154
894	1301	152
895	1303	151
896	1304	149
897	1305	148
898	1307	146
899	1309	145
900	1310	144
901	1312	142
902	1313	141
903	1315	139
904	1316	138
905	1318	136
906	1319	135
907	1321	133
908	1323	132
909	1324	131
910	1326	129
911	1327	128
912	1329	126
913	1330	125
914	1332	123
915	1333	122
916	1334	120
917	1335	119
918	1337	117
919	1339	116
920	1340	114
921	1341	113
922	1342	112
923	1344	110
924	1345	109
925	1347	107
926	1349	106
927	1350	104
928	1352	103
929	1354	101
930	1356	100
931	1357	99
932	1359	97
933	1360	96
934	1361	94
935	1362	93
936	1364	91
937	1365	90
938	1366	88
939	1367	87
940	1369	85
941	1371	84
942	1372	82
943	1373	81
944	1375	80
945	1376	78
946	1377	77
947	1378	75
948	1380	74
949	1381	72
950	1383	71
951	1384	69
952	1385	68
953	1387	66
954	1388	65
955	1389	63
956	1390	62
957	1391	61
958	1392	59
959	1393	58
960	1394	56
961	1395	55
962	1397	53
963	1398	52
964	1400	50
965	1401	49
966	1402	47
967	1403	46
968	1404	44
969	1405	43
970	1407	42
971	1408	40
972	1409	39
973	1410	37
974	1411	36
975	1412	34
976	1414	33
977	1415	31
978	1417	30
979	1418	28
980	1419	27
981	1421	26
982	1422	24
983	1423	23
984	1424	21
985	1425	20
986	1427	18
987	1428	17
988	1429	15
989	1431	14
990	1432	13
991	1433	11
992	1434	10
993	1435	8
994	1436	7
995	1438	5
996	1439	4
997	1440	2
998	1441	1
999	1443	0
